lasFile,passed_check,missing_fields,datatype_mismatch_fields
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP01I/17BP01I_induction_down_relogged.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP03I/17BP03I_induction_down_relogged_run6.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP04I/17BP04I_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP05I/17BP05I_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029663/RN29663_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN034821/RN034821_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029660/RN29660_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029665/RN029665_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029653/RN029653_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029656/RN029656_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029666/RN029666_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029662/RN029662_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN030826/RN030826_induction_down_relogged.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/13BP01D/13BP01D_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/Yow_bore/Yow_Bore_conductivity_down.las,False,"['X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP06I/17BP06I_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP07D/17BP07D_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP07D_RN039888/18BP07-D_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR08/KR8_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR21/KR21_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR22/KR22_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR23_RN040782/KR23_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR30/KR30_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR31a/KR31a_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR33/KR33_ind_down_generator.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR36_RN040783/RN040783_KR36_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR38/KR38_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR40/KR40_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR45/KR45_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR46/KR46_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR48/KR48_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR49/KR49_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR50a/KR50A_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR50b_RN040780/RN04780_KR50m_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR51a/KR51A_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR51b/KR51B_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR54/KR54_ind_down3.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR55/KR55_ind_up2.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR61_RN039891/KR61_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/KR21b_RN040781/RN_04781_KR21b_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP13D_RN039889/18BP13-D_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP01D_RN039890/18BP01-D_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore1/NTroad_bore1_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore2/NTroad_bore2_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore3/NTroad_bore3_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/NTroad_bore4/NTroad_bore4_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN007412/RN007412_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029933/RN029933_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029945/RN029945_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN030884/RN030884_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/RN030885/RN030885_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN038543/RN038543_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/17BP02I/17BP02-I_ind_down.LAS,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP39/10WP39_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP42/10WP42_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/Ord16/Ord16_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/Y16A_Ord37/Y16A_Ord37_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/WBS1155/WBS1155_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/Ord24/Ord24_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/WBS5080/WBS5080_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP32PB/10WP32PB_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP46/10WP46_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC13/KC13_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP36PB/10WP36PB_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC14/KC14_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/Y10A_Ord40/Y10A_Ord40_conductivity_down.las,False,"['GDAT', 'HZCS', 'LMF', 'APD', 'EPD']","['X', 'Y']"
/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC3PB/KC3PB_induction_down.las,False,"['WELL', 'DATE', 'X', 'Y', 'GDAT', 'HZCS', 'LMF', 'APD', 'EPD']",[]
