gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019450_SSC18-38\RN019450_gamma_down.LAS,RN019450,636118,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,85.5308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019451_SSC18-35\RN019451_gamma_down.LAS,RN019451,636122,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8308,152.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019452_SSC18-17a\RN019452_gamma_down.LAS,RN019452,636119,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,282.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019453_SSC18-39\RN019453_gamma_down.LAS,RN019453,636117,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8817,55.4817
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019454_SSC18-16\RN019454_gamma_down.LAS,RN019454,636116,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,89.9308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019455_SSC18-23\RN019455_gamma_down.LAS,RN019455,636303,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,82.9308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019456_SSC18-60\RN019456_gamma_down.LAS,RN019456,636219,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8817,78.4317
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019457_SSC18-62\RN019457_gamma_down.LAS,RN019457,636220,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,71.9308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019673\RN019673_gamma_down.LAS,RN019673,637299,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,219.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019674_SSC18-40\RN019674_gamma_down.LAS,RN019674,636300,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,240.6808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019676_SSC18-41\RN019676_gamma_down.LAS,RN019676,636120,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,163.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019678\RN019678_gamma_down_to_89p1m.LAS,RN019678,636301,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,89.1808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN019678\RN019678_gamma_down_from_88m.LAS,RN019678,636301,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,88.9308,204.9808
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\West_Davenport\RN019680_SSC18-54\RN019680_gamma_down.LAS,RN019680,641106,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,77.4308
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN020614\RN020614_Gamma_Down.LAS,RN020614,636291,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,21.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN020967\RN020967_Gamma_Down.LAS,RN020967,636298,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,44.7
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021012\RN021012_Gamma_Down.LAS,RN021012,636276,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,64.7
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021396\RN021396_Gamma_Down.LAS,RN021396,636271,3,unknown,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,40.99
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN021717\RN021717_Gamma_Down.LAS,RN021717,636288,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,95.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021762\RN021762_Gamma_Down.LAS,RN021762,636261,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,72.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021765\RN021765_Gamma_Down.LAS,RN021765,636275,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,51.48
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021768\RN021768_Gamma_Down.LAS,RN021768,636268,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,80.79
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN021769\RN021769_Gamma_Down.LAS,RN021769,636262,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,54.81
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN022060\RN022060_Gamma_Down.LAS,RN022060,636259,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,74.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN022063\RN022063_Gamma_Down.LAS,RN022063,636260,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,23.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN022063\RN022063_Gamma_Down.LAS,RN022065,636267,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,23.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN022394\RN022394_Gamma_Down.LAS,RN022394,636284,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,107.75
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN024402\RN024402_Gamma_Down.LAS,RN024402,636258,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,61.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN025285\RN025285_Gamma_Down.LAS,RN025285,636255,3,unknown,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,41.94
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN025288\RN025288_Gamma_Down.LAS,RN025288,628383,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,62.71
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN025420\RN025420_Gamma_Down.LAS,RN025420,636270,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,35.77
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN025423\RN025423_Gamma_Down.LAS,RN025423,636264,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,60.8
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN028782\RN028782_Gamma_Down.LAS,RN028782,636286,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,66.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN029425\RN029425_Gamma_Down.LAS,RN029425,636274,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,34.75
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN029430\RN029430_Gamma_Down.LAS,RN029430,636285,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,126.78
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029653\RN029653_gamma_down.las,RN029653,626988,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,10.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_gamma_down.las,RN029656,626989,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,26.5108
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_gamma_down_relogged_0p020_1p0mmin.las,RN029656,626989,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8208,26.5008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029662\RN029662_gamma_down.las,RN029662,626991,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.7908,16.5008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029665\RN029665_gamma_down.las,RN029665,626987,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,18.5108
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029666\RN029666_gamma_down_0p020_1p0mmin.las,RN029666,626990,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8208,15.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029933\RN029933_gamma_down.las,RN029933,636182,5,top of casing,A031,"K,U,TH,GR",binomial,11,11,0.8008,31.5008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029945\RN029945_gamma_down.las,RN029945,636183,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,20.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030826\RN030826_gamma_down_relogged_0p020_1p0mmin.las,RN030826,626992,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,28.4808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030884\RN030884_gamma_down.las,RN030884,636184,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,28.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_gamma_down.las,RN030885,636185,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,28.24
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN031977\RN031977_Gamma_Down.LAS,RN031977,636272,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,23.75
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN032750\RN032750_Gamma_Down.LAS,RN032750,636295,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,60.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN033033\RN033033_Gamma_Down.LAS,RN033033,636287,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,85.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN033035\RN033035_Gamma_Down.LAS,RN033035,628382,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,114.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN033039\RN033039_Gamma_Down.LAS,RN033039,628381,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,48.78
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN033132\RN033132_Gamma_Down.LAS,RN033132,636294,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,29.24
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN033308\RN033308_Gamma_Down.LAS,RN033308,636257,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,116.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN034364\RN034364_Gamma_Down.LAS,RN034364,636256,3,unknown,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,37.81
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN034596\RN034596_Gamma_Down.LAS,RN034596,636293,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,42.71
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN034679\RN034679_Gamma_Down.LAS,RN034679,636266,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,46.61
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN034821\RN034821_gamma_down.las,RN034821,626984,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,10.9908
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN035864\RN035864_Gamma_Down.LAS,RN035864,628380,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,65.79
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN035865\RN035865_Gamma_Down.LAS,RN035865,628379,3,unknown,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,69.83
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN035866\RN035866_Gamma_Down.LAS,RN035866,636269,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,22.01
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN036531\RN036531_Gamma_Down.LAS,RN036531,628378,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,58.34
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN036813\RN036813_Gamma_Down.LAS,RN036813,636290,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,72.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN036815\RN036815_Gamma_Down.LAS,RN036815,636289,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,68.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037041\RN037041_Gamma_down.LAS,RN037041,636292,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,64.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037048\RN037048_Gamma_Down.LAS,RN037048,636282,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,40.21
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN037153\RN037153_Gamma_Down.LAS,RN037153,536538,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,70.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN037154\RN037154_Gamma_Down.LAS,RN037154,536539,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,58.77
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037338\RN037338_Gamma_Down.LAS,RN037338,636296,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,91.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037411\RN037411_Gamma_Down.LAS,RN037411,636283,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,54.77
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037412\RN037412_Gamma_Down.LAS,RN037412,636252,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,84.73
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037413\RN037413_Gamma_Down.LAS,RN037413,636254,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,64.76
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Daly_River\RN037769\RN037769_Gamma_Down.LAS,RN037769,636253,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,146.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN038195\RN038195_Gamma_Down.LAS,RN038195,628377,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,62.74
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN038196\RN038196_Gamma_Down.LAS,RN038196,628376,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,24.79
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN038543\RN038543_gamma_down.las,RN038543,636186,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,21.5008
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN039611\RN039611_Gamma_Down.LAS,RN039611,628375,3,unknown,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,77.93
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Howard_East\RN039612\RN039612_Gamma_Down.LAS,RN039612,628374,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.005,85.755
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_gamma_down.las,RN29660,626986,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8029,21.5229
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_gamma_down_relogged2.las,RN29660,626986,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8879,21.4879
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029663\RN29663_gamma_down.las,RN29663,626981,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,13.5008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS1155\WBS1155_gamma_down.las,WBS1155,636193,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,48.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS5080\WBS5080_gamma_down.las,WBS5080,636195,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,152.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Yow_bore\Yow_Bore_gamma_down.las,Yow_Bore,627062,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,30.78
