induction_path,gamma_path,FLD,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,induction_instrument,gamma_instrument
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_gamma_down.las,East Kimberley,10WP32PB,636196,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_gamma_down.las,East Kimberley,10WP36PB,636200,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_gamma_down.las,East Kimberley,10WP39,636189,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_gamma_down.las,East Kimberley,10WP42,636190,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_gamma_down.las,East Kimberley,10WP46,636197,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_gamma_down.las,East Kimberley,FW1,636188,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\KC11\KC11_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\KC11\KC11_gamma_down.las,East Kimberley,KC11,636205,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_gamma_down.las,East Kimberley,Ord16,636191,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_gamma_down.las,East Kimberley,RN030885,636185,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_gamma_down.las,East Kimberley,Ord40,636203,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_gamma_down.las,East Kimberley,Ord37,636192,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Yow_bore\Yow_Bore_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Yow_bore\Yow_Bore_gamma_down.las,East Kimberley,Yow_Bore,627062,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_gamma_down_0p020_1p0mmin.las,East Kimberley,13BP01D,627061,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_gamma_down_relogged.las,East Kimberley,17BP01I,621622,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_gamma_down_relogged.las,East Kimberley,17BP03I,621623,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_gamma_down.las,East Kimberley,17BP04I,621624,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_gamma_down.las,East Kimberley,17BP05I,621625,5,top of casing,HII-383 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_gamma_down.las,East Kimberley,17BP06I,627063,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_gamma_down.las,East Kimberley,17BP07D,627064,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_gamma_down.las,East Kimberley,KC13,636198,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC14\KC14_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC14\KC14_gamma_down.las,East Kimberley,KC14,636201,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC3PB\KC3PB_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC3PB\KC3PB_gamma_down.las,East Kimberley,KC3PB,636204,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore1\NTroad_bore1_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore1\NTroad_bore1_gamma_down_relogged_0p020_1p0mmin.las,East Kimberley,NTroad_bore1,635957,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore2\NTroad_bore2_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore2\NTroad_bore2_gamma_down_relogged_slow.las,East Kimberley,NTroad_bore2,635958,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore3\NTroad_bore3_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore3\NTroad_bore3_gamma_down.las,East Kimberley,NTroad_bore3,635959,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore4\NTroad_bore4_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore4\NTroad_bore4_gamma_down.las,East Kimberley,NTroad_bore4,635960,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\Ord24\Ord24_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\Ord24\Ord24_gamma_down.las,East Kimberley,Ord24,636194,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN007412\RN007412_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN007412\RN007412_gamma_down.las,East Kimberley,RN007412,636181,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029653\RN029653_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029653\RN029653_gamma_down.las,East Kimberley,RN029653,626988,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_gamma_down.las,East Kimberley,RN029656,626989,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_gamma_down_relogged_0p020_1p0mmin.las,East Kimberley,RN029656,626989,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_gamma_down.las,East Kimberley,RN29660,626986,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_gamma_down_relogged2.las,East Kimberley,RN29660,626986,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029662\RN029662_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029662\RN029662_gamma_down.las,East Kimberley,RN029662,626991,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029663\RN29663_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029663\RN29663_gamma_down.las,East Kimberley,RN29663,626981,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029665\RN029665_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029665\RN029665_gamma_down.las,East Kimberley,RN029665,626987,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029666\RN029666_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029666\RN029666_gamma_down_0p020_1p0mmin.las,East Kimberley,RN029666,626990,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029933\RN029933_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029933\RN029933_gamma_down.las,East Kimberley,RN029933,636182,5,top of casing,HII-383 Induction Conductivity Probe,A031 Natural Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029945\RN029945_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029945\RN029945_gamma_down.las,East Kimberley,RN029945,636183,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030826\RN030826_induction_down_relogged.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030826\RN030826_gamma_down_relogged_0p020_1p0mmin.las,East Kimberley,RN030826,626992,10,top of casing protector,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030884\RN030884_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN030884\RN030884_gamma_down.las,East Kimberley,RN030884,636184,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN034821\RN034821_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN034821\RN034821_gamma_down.las,East Kimberley,RN034821,626984,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN038543\RN038543_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN038543\RN038543_gamma_down.las,East Kimberley,RN038543,636186,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS1155\WBS1155_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS1155\WBS1155_gamma_down.las,East Kimberley,WBS1155,636193,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS5080\WBS5080_induction_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\WBS5080\WBS5080_gamma_down.las,East Kimberley,WBS5080,636195,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_ind_down.LAS,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_gamma_down.LAS,East Kimberley,17BP02-I,636187,5,top of casing,HII-383 Induction Conductivity Probe,QL40 SGR Spectral Gamma Probe
